datum	nev	helyszin
1983.08.07	N?met	N?metorsz?g
1995.07.02	Francia	Franciaorsz?g
1955.06.05	Belga	Belgium
1984.08.19	Osztr?k	Ausztria
1969.09.20	Kanadai	Kanada
1966.07.16	Brit	Nagy-Britannia
1976.05.30	Monacoi	Monaco
1955.09.11	Olasz	Olaszorsz?g
1960.05.29	Monacoi	Monaco
1989.08.13	Magyar	Magyarorsz?g
1979.08.12	Osztr?k	Ausztria
1979.08.26	Holland	Hollandia
1998.05.10	Spanyol	Spanyolorsz?g
1973.09.23	Kanadai	Kanada
1985.08.25	Holland	Hollandia
1952.05.30	Indy 500	USA
1956.07.01	Francia	Franciaorsz?g
1956.06.03	Belga	Belgium
1977.07.17	Brit	Nagy-Britannia
2004.05.09	Spanyol	Spanyolorsz?g
2003.08.24	Magyar	Magyarorsz?g
1994.10.16	Spanyol	Spanyolorsz?g
2004.06.20	USA	USA
2002.05.12	Osztr?k	Ausztria
1979.03.03	D?l-Afrikai	D?l-Afrika
2006.06.11	Brit	Nagy-Britannia
1984.07.08	USA	USA
1987.08.16	Osztr?k	Ausztria
1958.07.06	Francia	Franciaorsz?g
1971.07.04	Francia	Franciaorsz?g
1981.05.17	Belga	Belgium
2003.07.06	Francia	Franciaorsz?g
1977.10.09	Kanadai	Kanada
1981.08.30	Holland	Hollandia
1986.06.22	USA	USA
1988.10.30	Jap?n	Jap?n
1996.09.08	Olasz	Olaszorsz?g
1984.04.29	Belga	Belgium
1973.07.29	Holland	Hollandia
1981.09.27	Kanadai	Kanada
1985.08.04	N?met	N?metorsz?g
1997.09.21	Osztr?k	Ausztria
2004.08.15	Magyar	Magyarorsz?g
1967.08.06	N?met	N?metorsz?g
1966.07.24	Holland	Hollandia
1996.07.14	Brit	Nagy-Britannia
1997.09.28	N?met	N?metorsz?g
1964.08.02	N?met	N?metorsz?g
1970.03.07	D?l-Afrikai	D?l-Afrika
1987.04.12	Brazil	Braz?lia
1953.06.07	Holland	Hollandia
1971.08.01	N?met	N?metorsz?g
1973.07.14	Brit	Nagy-Britannia
2005.07.31	Magyar	Magyarorsz?g
1995.05.28	Monacoi	Monaco
2002.08.18	Magyar	Magyarorsz?g
1978.05.07	Monacoi	Monaco
1995.08.27	Belga	Belgium
2000.08.13	Magyar	Magyarorsz?g
1979.05.13	Belga	Belgium
1989.09.10	Olasz	Olaszorsz?g
1953.07.05	Francia	Franciaorsz?g
1983.07.16	Brit	Nagy-Britannia
1967.07.15	Brit	Nagy-Britannia
2000.03.26	Brazil	Braz?lia
1989.07.09	Francia	Franciaorsz?g
1960.09.04	Olasz	Olaszorsz?g
2006.06.25	Kanadai	Kanada
1992.08.30	Belga	Belgium
1987.05.31	Monacoi	Monaco
1980.05.04	Belga	Belgium
1998.04.26	San Marinoi	San Marino
1970.04.19	Spanyol	Spanyolorsz?g
1996.08.11	Magyar	Magyarorsz?g
2001.05.27	Monacoi	Monaco
1980.09.28	Kanadai	Kanada
2002.07.21	Francia	Franciaorsz?g
1985.09.15	Belga	Belgium
1996.03.10	Ausztr?l	Ausztr?lia
1985.09.08	Olasz	Olaszorsz?g
1995.07.30	N?met	N?metorsz?g
